actual,proposed
0.30000463128089905,0.20000000298023224
0.3015044629573822,0.20000000298023224
0.30300432443618774,0.20000000298023224
0.3045041859149933,0.20000000298023224
0.30600404739379883,0.20000000298023224
0.30750390887260437,0.20000000298023224
0.3090038001537323,0.20000000298023224
0.15238399803638458,0.19797028601169586
0.15276455879211426,0.19678929448127747
0.15529286861419678,0.19561360776424408
0.15776026248931885,0.19445498287677765
0.1601690798997879,0.19330373406410217
0.15519747138023376,0.1921004354953766
0.1531791090965271,0.19090566039085388
0.1467219442129135,0.18968971073627472
0.13588865101337433,0.18841032683849335
0.12945690751075745,0.18711785972118378
0.11864502727985382,0.18577000498771667
0.10351292043924332,0.18433777987957
0.0841178223490715,0.18279355764389038
0.06923216581344604,0.1811680644750595
0.05006934329867363,0.17943504452705383
0.026684356853365898,0.1775583028793335
0.003488851711153984,0.17555367946624756
0.0,0.17344769835472107
0.0,0.1711769700050354
0.0,0.16872189939022064
0.0,0.16608065366744995
0.0,0.1632940173149109
0.0,0.16036751866340637
0.0,0.15730182826519012
0.0,0.15410073101520538
0.0,0.15079958736896515
0.0,0.1473723202943802
0.0,0.14381669461727142
0.0,0.14020180702209473
0.0,0.13271136581897736
0.0,0.12887080013751984
0.0,0.12494099885225296
0.0,0.1209629476070404
0.0,0.11696846783161163
0.0,0.11292034387588501
0.0,0.10885711014270782
0.0,0.10480756312608719
0.0,0.100741446018219
0.0,0.09668190032243729
0.0,0.0926370695233345
0.0,0.08860309422016144
0.0,0.08457580208778381
0.0,0.0805891677737236
0.0,0.07670482993125916
0.0,0.0729513093829155
0.0,0.06935466080904007
0.0,0.06587759405374527
0.0,0.06251531094312668
0.0,0.059264007955789566
0.0,0.05611815303564072
0.0,0.05310703441500664
0.0,0.05019299313426018
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.12674695253372192
0.0,0.12569577991962433
0.00997406430542469,0.12479040771722794
0.022319070994853973,0.12399452179670334
0.043141577392816544,0.12337053567171097
0.05925390496850014,0.12287693470716476
0.075090691447258,0.12250886112451553
0.09938178211450577,0.12233156710863113
0.11894083023071289,0.12230135500431061
0.1294858455657959,0.12235251814126968
0.15294551849365234,0.12257824093103409
0.1629919409751892,0.12287498265504837
0.17725719511508942,0.1232738196849823
0.19132819771766663,0.12377020716667175
0.20085477828979492,0.12433301657438278
0.20590564608573914,0.12491989135742188
0.2109055519104004,0.12553749978542328
0.22021591663360596,0.1262124925851822
0.2207016497850418,0.12688200175762177
0.22556547820568085,0.12757587432861328
0.2260282337665558,0.12826326489448547
0.22215233743190765,0.12891027331352234
0.21835651993751526,0.12951762974262238
0.20591920614242554,0.13002607226371765
0.20239366590976715,0.13049881160259247
0.1858556866645813,0.13084319233894348
0.17391927540302277,0.13109511137008667
0.1577950268983841,0.1312226951122284
0.13753558695316315,0.13120143115520477
0.11754992604255676,0.1310325562953949
0.09782540798187256,0.13072380423545837
0.07399089634418488,0.13024401664733887
0.04609508067369461,0.12956859171390533
0.018543172627687454,0.128701850771904
3.7017241993453354e-05,0.12771588563919067
0.0,0.12638866901397705
0.0,0.12482361495494843
0.0,0.12300095707178116
0.0,0.12095677852630615
0.0,0.11882933974266052
0.0,0.11636144667863846
0.0,0.1137239933013916
0.0,0.11089083552360535
0.0,0.10786769539117813
0.0,0.10478772968053818
0.0,0.10139498114585876
0.0,0.09782739728689194
0.0,0.09412228316068649
0.0,0.09028305858373642
0.0,0.08634542673826218
0.0,0.08231154084205627
0.0,0.07818383723497391
0.0,0.07409318536520004
0.0,0.07010234892368317
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.12201982736587524
0.0,0.119834765791893
0.0,0.1177978664636612
0.0,0.11589518189430237
0.0,0.11413118988275528
0.0,0.1124306246638298
0.0,0.11086023598909378
0.0,0.10954111814498901
0.0,0.10837085545063019
0.0,0.10724450647830963
0.0,0.1062595322728157
0.0,0.10540986061096191
0.0,0.10465948283672333
0.0,0.10397259145975113
0.0,0.10337933152914047
0.0,0.10287614166736603
0.004526791628450155,0.10245875269174576
0.014730039983987808,0.10212705284357071
0.024763567373156548,0.10187581181526184
0.030275912955403328,0.10170391201972961
0.031334370374679565,0.10157524794340134
0.036721475422382355,0.1014576181769371
0.037659935653209686,0.1013810783624649
0.03857304900884628,0.10131321847438812
0.04817967116832733,0.10125361382961273
0.05328323692083359,0.10126536339521408
0.06266822665929794,0.10131628811359406
0.05884190648794174,0.10143454372882843
0.050709523260593414,0.10152214020490646
0.03832881897687912,0.10154861211776733
0.030473140999674797,0.10148321092128754
0.027074240148067474,0.10136067122220993
0.019349420443177223,0.10121554136276245
0.01607506535947323,0.10101615637540817
0.012827565893530846,0.10079579800367355
0.013964492827653885,0.10055534541606903
0.006347143556922674,0.1003284752368927
0.0031744157895445824,0.10004889965057373
2.2924399672774598e-05,0.09975171089172363
0.0,0.09943629801273346
0.0,0.09910348802804947
0.0,0.09872136265039444
0.0,0.09832416474819183
0.0,0.09787982702255249
0.24316257238388062,0.09742153435945511
0.24158048629760742,0.19872766733169556
0.240006223320961,0.19891613721847534
0.238438680768013,0.19909338653087616
0.2412363886833191,0.19925729930400848
0.23962022364139557,0.19944162666797638
0.23801171779632568,0.1996164172887802
0.23641033470630646,0.1997716724872589
0.23481501638889313,0.19991816580295563
0.2332252711057663,0.20000000298023224
0.23164063692092896,0.1994045525789261
0.22570110857486725,0.19951580464839935
0.21546685695648193,0.19958148896694183
0.2053537666797638,0.19957442581653595
0.19535592198371887,0.19949431717395782
0.18110856413841248,0.19934290647506714
0.16702581942081451,0.19909228384494781
0.15309925377368927,0.198743999004364
0.13932135701179504,0.19830010831356049
0.12132584303617477,0.1977662295103073
0.10352461785078049,0.19710910320281982
0.08154941350221634,0.19633619487285614
0.06416923552751541,0.19541428983211517
0.03823497146368027,0.1943824738264084
0.012577012181282043,0.19318051636219025
0.0,0.19181254506111145
0.0,0.19025081396102905
0.0,0.18853335082530975
0.0,0.18663129210472107
0.0,0.1845521777868271
0.0,0.1822672188282013
0.0,0.1797833889722824
0.0,0.17713913321495056
0.0,0.17436911165714264
0.0,0.17141520977020264
0.0,0.16828037798404694
0.0,0.16500014066696167
0.0,0.16164718568325043
0.0,0.15822091698646545
0.0,0.15468935668468475
0.0,0.15105761587619781
0.0,0.14732642471790314
0.0,0.14349795877933502
0.0,0.13963966071605682
0.0,0.13571925461292267
0.0,0.1317700892686844
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.19689901173114777
0.0,0.19431447982788086
0.0,0.1918354630470276
0.0,0.18948189914226532
0.0,0.18729080259799957
0.0,0.18521803617477417
0.0,0.18322645127773285
0.0,0.1812857836484909
0.0,0.17942030727863312
0.0,0.17763040959835052
0.0,0.1758795976638794
0.0,0.17420047521591187
0.0,0.17255805432796478
0.0,0.17091426253318787
0.0,0.1692710518836975
0.0,0.16763204336166382
0.0,0.1660527139902115
0.0,0.16450579464435577
0.0,0.1629868447780609
0.0,0.1614626795053482
0.09990354627370834,0.15990173816680908
0.0964675024151802,0.20000000298023224
0.10171008110046387,0.20000000298023224
0.10679329186677933,0.20000000298023224
0.1073642298579216,0.20000000298023224
0.11220724880695343,0.20000000298023224
0.11254680156707764,0.20000000298023224
0.1171669065952301,0.20000000298023224
0.1172918826341629,0.20000000298023224
0.11734601855278015,0.20000000298023224
